Title,Release Year,Production Company
180,2011,SPI Cinemas
24 Hours on Craigslist,2005,Yerba Buena Productions
Summertime,2015,"Creative Monster Productions, Inc."
Ballers Season 3,2017,"Chori Perros Productions, LLC"
Chance Season 2,2017,TVM Productions Inc.
A Night Full of Rain,1978,Liberty Film
Vegas in Space,1992,Troma Entertainment
Nine Months,1995,1492 Pictures
Beautiful Boy,2018,Big Indie Pictures
About a Boy,2014,NBC Studios
Age of Adaline,2015,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment
After the Thin Man,1936,Metro-Goldwyn Mayer
Ant-Man,2015,"PYM Particles Productions, LLC"
Americana,2015,Sutro Films LLC
Another 48 Hours,1990,Eddie Murphy Productions
Around the Fire,1998,Paradigm Studio
Attack of the Killer Tomatoes,1978,Four Square Productions
Basic Instinct,1992,Carolco Pictures
Bedazzled,2000,Twentieth Century Fox Film Corp.
Blue Jasmine,2013,Perdido Productions
Bee Season,2005,Bee Season Productions
Bicentennial Man,1999,1492 Pictures
Big Eyes,2014,Blink & Wink Productions
Big Sur,2013,3311 Productions
Boys and Girls,2000,Punch 21 Productions
"Smile Again, Jenny Lee",2015,Carlo Caldana/Marguery Films
Broken-A Modern Love Story ,2010,RKW Films
Silicon Valley Season 4,2017,"Brown Hill Productions, LLC"
Cardinal X,2015,Fire Horse Film Productions LLC
Superman,1978,Dovemead Films
The Bachelor,1999,George Street Pictures
"Murder in the First, Season 1",2014,Turner North Center Productions
Time After Time,1979,Orion Pictures Corp.
Bullitt,1968,"Warner Brothers / Seven Arts
Seven Arts"
The Game,1997,Polygram Filmed Entertainment
Nine to Five,1980,Twentieth Century Fox Film Corporation
Herbie Rides Again,1974,Walt Disney Productions
Edtv,1999,Imagine Entertainment
Venom,2018,"L.O.Z. Productions, Inc."
Sister Act 2: Back in the Habit,1993,Touchstone Pictures
Casualties of War,1989,Columbia Pictures Corporation
Memoirs of an Invisible Man,1992,Warner Bros. Pictures
The Organization,1971,The Mirisch Corporation
Looking Season 2 ep 202,2015,"Mission Street Productions, LLC"
San Andreas,2015,"Upside Down Productions, Inc."
The Caine Mutiny,1954,Stanley Kramer Productions
Looking Season 2 ep 203,2015,"Mission Street Productions, LLC"
The Last Black Man in San Francisco,2019,"LBMISF, LLC"
Class Action,1991,Interscope Communications
Common Threads: Stories From the Quilt,1989,Home Box Office (HBO)
Confessions of a Burning Man,2003,Hotbed Media
Copycat,1995,Regency Enterprises
Steve Jobs,2015,RDF Productions LLC
Interview With The Vampire,1994,Geffen Pictures
"Murder in the First, Season 2",2015,Turner North Center Productions
Playing Mona Lisa,2000,The Bubble Factory
Tales of the City,2019,Universal Television LLC
Quitters,2015,"Frederick & Ashbury, LLC."
The Rock,1996,Hollywood Pictures
Twisted,2004,Paramount Pictures
Looking Season 2 ep 209,2015,"Mission Street Productions, LLC"
Pal Joey,1957,Columbia Pictures Corporation
Invasion of the Body Snatchers,1978,Solofilm
The Net,1995,Columbia Pictures Corp.
I Am Michael,2015,Thatâ€™s Hollywood
Alcatraz,2012,Bonanza Productions Inc.
Dawn of the Planet of the Apes,2014,"Fox Louisiana Productions, LLC"
Desperate Measures,1998,Mandalay Entertainment
Looking Season 2 ep 205,2015,"Mission Street Productions, LLC"
Swing,2003,unlisted
Star Trek IV: The Voyage Home,1986,Paramount Pictures
Looking Season 2 ep 204,2015,"Mission Street Productions, LLC"
Cherish,2002,3 Ring Circus Films
D.O.A,1950,Cardinal Pictures
"Looking ""Special""",2016,"Mission Street Productions, LLC"
Ant-Man and the Wasp,2018,"PYM Particles Productions II, LLC"
Mission (aka City of Bars),2001,
Sense8 - Season 2,2016,"Unpronounceable Productions, LLC"
The Graduate,1967,Embassy Pictures Corporation
Freebie and the Bean,1974,Warner Bros. Pictures
The Right Stuff,1983,The Ladd Company
Doctor Dolittle,1998,Twentieth Century Fox Film Cooperation
Getting Even with Dad,1994,Metro-Goldwyn-Mayer (MGM)
Dopamine,2003,Kontent Films
Godzilla,2014,"Nautilus Productions, LLC"
The Enforcer,1976,Warner Bros. Pictures
Tin Cup,1996,Regency Enterprises
Sense8,2015,"Unpronounceable Productions, LLC"
Never Die Twice,2001,Scott / Kelly Films
Dr. Dolittle 2,2001,Twentieth Century Fox Film Corp.
High Crimes,2002,Twentieth Century Fox Film Corporation
Terminator - Genisys,2015,T5 Productions LLC
Chance- Season 1 ep109,2016,TVM Productions
Woman on Top,2000,Fox Searchlight Pictures
Pushing Dead,2016,"Pushing Dead , LLC"
The Dead Pool,1988,Warner Bros. Pictures
Sweet November,2001,Warner Bros. Pictures
Woman on the Run,1950,Fidelity Pictures Corporation
When We Rise,2017,Film 49 Productions
Always Be My Maybe,2019,"Isla Productions, LLC"
Pacific Heights,1990,Morgan Creek Productions
Jagged Edge,1985,Columbia Pictures Corp.
Chance- Season 1 ep102,2016,TVM Productions
Innerspace,1987,Amblin Entertainment
Looking,2014,"Mission Street Productions, LLC"
Dirty Harry,1971,The Malpaso Company
Sudden Impact,1983,Warner Bros. Pictures
Sudden Fear,1952,Joseph Kaufmann Pictures
Faces of Death,1978,F.O.D Productions
Foul Play,1978,Paramount Pictures
House of Sand and Fog,2003,DreamWorks SKG
Fandom,2004,The Digital Golem
Fat Man and Little Boy,1989,Paramount Pictures
Magnum Force,1973,The Malpaso Company
When a Man Loves a Woman,1994,Touchstone Pictures
Junior,1994,Northern Lights Entertainment
Maxie,1985,Elsboy Entertainment
Final Analysis,1992,Warner Bros. Pictures
Patty Hearst,1988,Atlantic Entertainment Group
Chance- Season 1 ep104,2016,TVM Productions
Flubber,1997,Walt Disney Pictures
Forrest Gump,1994,Paramount Pictures
40 Days and 40 Nights,2002,Miramax Films
A Taiwanese Tale of Two Cities,2018,Envision Productions Inc.
Red Widow,2013,Beyond Pix
Down Periscope,1996,Twentieth Century Fox Film Corp.
Etruscan Smile,2017,"Po Valley Productions, LLC"
Sphere,1998,Constant c Productions
Fearless,1993,Spring Creek Productions
The Birds,1963,Universal Pictures
Greed,1924,Metro-Goldwyn-Mayer (MGM)
"Budding Prospects, Pilot",2017,Picrow Streaming Inc.
George of the Jungle,1997,Walt Disney Pictures
It Came From Beneath the Sea,1955,Clover Productions
The Pursuit of Happyness,2006,Columbia Pictures Corporation
God is a Communist?* (show me heart universe),2010,Trismegistus Productions
Hulk,2003,Universal Pictures
The Presidio,1988,Paramount Pictures
Petulia,1968,Warner Brothers / Seven Arts
Shattered,1991,Capella International
Vertigo,1958,Alfred J. Hitchcock Productions
Chance - Season 1 Pilot,2016,TVM Productions
Haiku Tunnel,2001,Hello Hooker Productions
Happy Gilmore,1996,Brillstein-Grey Entertainment
The Diary of a Teenage Girl,2015,"Diary the Movie, LLC"
The Wedding Planner,2001,Columbia Pictures
Heart and Souls,1993,Universal Pictures
Thief of Hearts,1984,Paramount Pictures
The Conversation,1974,American Zoetrope
Looking Season 2 ep 206,2015,"Mission Street Productions, LLC"
GirlBoss,2017,"Hippolyta Productions, LLC"
Just Like Heaven,2005,DreamWorks SKG
Red Diaper Baby,2004,Hello Hooker Productions
Hereafter,2010,GT Films
Sneakers,1992,Universal Pictures
Milk,2008,Focus Features
Experiment in Terror,1962,Columbia Pictures Corporation
High Crimes,2002,Twentieth Century Fox Corporation
Homeward Bound II: Lost in San Francisco,1996,Walt Disney Pictures
How Stella Got Her Groove Back,1998,Twentieth Century Fox Film Corporation
Pretty Woman,1990,Touchstone Pictures
Golden Gate,1994,American Playhouse Theatrical Films
Mrs. Doubtfire,1993,Twentieth Century Fox Film Corporation
The OA Part II,2019,Lunar Mining LLC
Groove,2000,415 Productions
Chance- Season 1 ep110,2016,TVM Productions
Looking Season 2 ep 210,2015,"Mission Street Productions, LLC"
A Jitney Elopement,1915,The Essanay Film Manufacturing Company
Looking Season 2 ep 207,2015,"Mission Street Productions, LLC"
I's,2011,Banshee Cinema
Joy Luck Club,1993,Hollywood Pictures
The Towering Inferno,1974,Irwin Allen Productions
James and the Giant Peach,1996,Skellington Productions
Julie and Jack,2003,Moviehead Pictures
On the Beach,1959,Stanley Kramer Productions
A View to a Kill,1985,Metro-Goldwyn Mayer
Chance- Season 1 ep106,2016,TVM Productions
Bitter Melon,2018,Bitter Melon Film LLC/Mammoth Pictures
Heart Beat,1980,Orion Pictures Corporation
Chance- Season 1 ep108,2016,TVM Productions
City of Angels,1998,Atlas Entertainment
Metro,1997,Touchstone Pictures
The House on Telegraph Hill,1951,Twentieth Century Fox Film Corp.
Birth of the Dragon,2016,"BOTD U.S. Productions, Inc."
San Francisco,1936,Metro-Goldwyn Mayer
Midnight Lace,1960,Arwin Productions
Rent,2005,Rent Productions LLC
Shoot the Moon,1982,Metro-Goldwyn-Mayer (MGM)
Looking Season 2 ep 208,2015,"Mission Street Productions, LLC"
Zodiac,2007,Paramount Pictures
Flower Drum Song,1961,Fields Productions
The Woman In Red,1984,Orion Pictures Corp.
Chance- Season 1 ep107,2016,TVM Productions
The Internship,2013,Twentieth Century Fox Film Corporation
Need For Speed,2014,"Need For Speed Productions, LLC"
Night of Henna,2005,Zee Films
"Murder in the First, Season 3",2016,Turner North Center Productions
What's Up Doc?,1972,Warner Bros. Pictures
Chance- Season 1 ep103,2016,TVM Productions
On the Road,2012,SPAD Films
Broken-A Modern Love Story,2010,RKW Films
Guess Who's Coming to Dinner,1967,Columbia Pictures Corporation
Parks and Recreation,2014,"NBC Universal Media, LLC"
Patch Adams,1998,Bungalow 78 Productions
CSI: NY- episode 903,2012,CBS Television Studios
By Hook or By Crook,2001,Steakhaus Productions
Raising Cain,1992,Pacific Western
Rollerball,2002,Atlas Entertainment
Romeo Must Die,2000,Silver Pictures
Sausalito,2000,B.O.B and Partners
Serendipity,2001,Miramax Films
Seven Girlfriends,1999,White Dwarf Productions
Sister Act,1992,Touchstone Pictures
So I Married an Axe Murderer,1993,TriStar Pictures
Nora Prentiss,1947,Warner Bros. Pictures
Stigmata,1999,Metro-Goldwyn Mayer
The Maltese Falcon,1941,Warner Bros. Pictures
Chance - Season 1 ep105,2016,TVM Productions
American Graffiti,1973,Universal Pictures
The Assassination of Richard Nixon,2004,Anhelo Productions
The Bridge,2006,Easy There Tiger Productions
Live Nude Girls Unite,2000,Constant Communication
Chance - Season 1ep105,2016,TVM Productions
The Californians,2005,Parker Film Company
The Candidate,1972,Redford-Ritchie Productions
"Play it Again, Sam",1972,Paramount Pictures
True Believer,1989,Columbia Pictures Corporation
The Core,2003,David Foster Productions
Pleasure of His Company,1961,Perlsea Company
The Doctor,1991,Silver Screen Partners IV
The Doors,1991,Bill Graham Films
Chu Chu and the Philly Flash,1981,Melvin Simon Productions
Harold and Maude,1971,Mildred Lewis and Colin Higgins Productions
Hemingway & Gelhorn,2011,"Attaboy Films, For Whom Productions, Home Box Office (HBO)"
The Love Bug,1968,Walt Disney Productions
The Internship,2013,Twentieth Century Fox Film Corp.
Fathers' Day,1997,Northern Lights Entertainment
Jade,1995,Paramount Pictures
Crackers,1984,Universal Pictures
Dim Sum: A Little Bit of Heart,1985,CIM
The Other Sister,1999,Mandeville Films
The Last of the Gladiators,1988,Twin Tower Enterprises
The Parent Trap,1998,Walt Disney Pictures
Dream with the Fishes,1997,3 Ring Circus Films
Babies,2010,Canal+
Mother,1996,Paramount Pictures
The Princess Diaries,2001,Walt Disney Pictures
The Sweetest Thing,2002,Columbia Pictures Corp.
Star Trek VI: The Undiscovered Country,1991,Paramount Pictures
Beaches,1988,Silver Screen Partners IV
The Zodiac,2005,Blackwater Films
48 Hours,1982,Paramount Pictures
Gentleman Jim,1942,Warner Bros. Pictures
Under the Tuscan Sun,2003,Touchstone Pictures
Until the End of the World,1991,Village Roadshow Pictures
Just One Night,2000,Panoptic Pictures
Marnie,1964,Universal Pictures
Mona Lisa Smile,2003,Revolution Studios
What Dreams May Come,1998,Polygram Filmed Entertainment
What the Bleep Do We Know,2004,Captured Light
Knife Fight,2013,Divisadero Pictures & Knife Fight
Hard to Hold,1984,Universal Pictures
A Smile Like Yours ,1997,Paramount Pictures
Shadow of the Thin Man,1941,Metro-Goldwyn Mayer
I Remember Mama,1948,RKO Radio Pictures
Nina Takes a Lover,1994,Alan Jacobs Productions
High Anxiety,1977,Twentieth Century Fox Film Corporation
The Nightmare Before Christmas,1993,Touchstone Pictures
Take the Money and Run,1969,American Broadcasting Company (ABC)
The Jazz Singer,1927,Warner Bros. Pictures
The Lineup,1958,Pajemer Productions
Psych-Out,1968,Dick Clark Productions
Burglar,1987,Warner Bros. Pictures
Dying Young,1991,Twentieth Century Fox Corporation
The Ten Commandments,1956,Paramount Pictures
The Lady from Shanghai,1947,Columbia Pictures Corp.
Alexander's Ragtime Band,1938,Twentieth Century Fox Film Corporation
The Fan,1996,Mandalay Entertainment
Indiana Jones and the Last Crusade,1989,Paramount Pictures
The Fog of War,2003,Sony Pictures Classics
Love & Taxes,2014,Bad Company Films
Tucker: The Man and His Dream,1988,Lucasfilm
The Times of Harvey Milk,1984,UCLA Film and Television Archive
The Competition,1980,Columbia Pictures Corporation
Star Trek II : The Wrath of Khan,1982,Paramount Pictures
Swingin' Along,1961,Twentieth Century Fox Film Corporation
Point Blank,1967,Metro-Goldwyn Mayer
Barbary Coast,1935,The Samuel Goldwyn Company
Birdman of Alcatraz,1962,Norma Productions
Panther,1995,Gramercy Pictures
Chan is Missing,1982,New Yorker Films
Family Plot,1976,Universal Pictures
Jack,1996,American Zoetrope
American Yearbook,2004,All Planet Studios
Days of Wine and Roses,1962,Warner Bros. Pictures
To the Ends of the Earth,1948,Kennedy-Buckman Pictures
The Matrix,1999,Silver Pictures
Dark Passage,1947,Warner Bros. Pictures
A Smile Like Yours,1997,Paramount Pictures
Good NeighborSam,1964,Columbia Pictures Corporation
Phenomenon,1996,Touchstone Pictures
Escape From Alcatraz,1979,Paramount Pictures
Susan Slade,1961,Warner Bros. Pictures
Dream for an Insomniac,1996,Triton Productions
Street Music,1981,Pacificon Films
Big Trouble in Little China,1986,Twentieth Century Fox Film Corporation
They Call Me MISTER Tibbs,1970,Mirisch Corporation
All About Eve,1950,Twentieth Century Fox Film Corp.
The Laughing Policeman,1973,Twentieth Century Fox Film Corporation
"Hello Frisco, Hello",1943,Twentieth Century Fox Film Corporation
"Yours, Mine and Ours",1968,Desilu Productions
Tweek City,2005,Tweek City LLC
Golden Gate,1994,Metro-Goldwyn-Mayer (MGM)
Serial,1980,Paramount Pictures
Kamikaze Hearts,1986,Leger/Bashore
The Master,2012,H.H. Project
50 First Dates,2004,Columbia Pictures Corporation
Can't Stop the Music,1980,EMI Films
Quicksilver,1986,Columbia Pictures Corporation
